line,label
/lib64/ld-linux-x86-64.so.2,0
_ITM_deregisterTMCloneTable,0
__gmon_start__,0
_ITM_registerTMCloneTable,0
fgetfilecon_raw,0
cap_to_text,0
optind,0
nl_langinfo,0
strcpy,0
gethostname,0
mempcpy,0
snprintf,0
tzset,0
__stack_chk_fail,0
__printf_chk,0
statx,0
__assert_fail,0
sigaction,0
closedir,0
stdout,0
stderr,0
malloc,0
calloc,0
memcmp,0
memset,0
fprintf,0
fclose,0
free,0
getopt_long,0
strerror,0
close,0
exit,0
libc.so.6,0
GLIBC_2.38,0
GLIBC_2.34,0
GLIBC_2.14,0
GLIBC_2.2.5,0
LIBSELINUX_1.0,0
UTF-8,0
%H:%M:%S,0
%Y-%m-%d,0
%2.2x ,0
%8.8x ,0
.text,0
.text$x,0
.rdata,0
.rsrc,0
.idata$3,0
.gfids,0
.CRT$XCZ,0
.CRT$XPZ,0
.CRT$XIZ,0
.CRT$XIY,0
RSDS,0
RSDSw,0
__IAT_end__,0
classes.dexdex,0
"META-INF/com/android/build/gradle/app-metadata.propertiesK,(",0
api-ms-win-core-profile-l1-1-0.dll,0
ADVAPI32.dll,0
TRUSTED CERTIFICATE,0
CountryName,0
BootPerf,0
BootId,0
Rundown = 0x80000,0
IsWindow,0
SetWindowPos,0
LeaveCriticalSection,0
InitializeConditionVariable,0
DeleteCriticalSection,0
GetCurrentThreadId,0
LoadLibraryExW,0
RegisterWindowMessageW,0
TranslateMessage,0
EtwTrigger,0
EventWriteTransfer,0
EventSetInformation,0
onecore\internal\sdk\inc\wil\Staging.h,0
"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?>",0
<assemblyIdentity,0
      <requestedPrivileges>,0
"  <trustInfo xmlns=""urn:schemas-microsoft-com:asm.v3"">",0
      <!--The ID below indicated application support for Windows 8 -->,0
This is free software: you are free to change and redistribute it.,0
https://www.gnu.org/software/coreutils/,0
Multi-call invocation,0
David MacKenzie,0
Warning: using insecure memory!,0
incorrect timezone,0
network_down,0
no certificate found,0
address_family_not_supported,0
out of core,0
invalid string position,0
and --preserve-root=all is in effect,0
shell-escape-always,0
keep,0
False,0
fifo,0
escape,0
version,0
